productID,productName,price,serial
101241,"Apple iPad (10th Generation, 2022)",399.99,1
89729,Apple iPad Air (2022),499.99,2
101717,Apple iPad mini (2021),399.99,3
92655,Amazon Fire HD 10 (2021),129.99,4
102254,Amazon Fire HD 8 (2022 Release),69.99,5
76682,Amazon Fire HD 10 Kids (2021),149.99,6
99184,Lenovo Tab P11 Plus,199.99,7
72991,Samsung Galaxy Tab S7 Plus,733.59,8
56669,Apple iPhone 14 Pro Max,1014.97,9
111515,Google Pixel 7,599,10
87849,Samsung Galaxy S23 Ultra,1199.99,11
59753,Samsung Galaxy Z Fold 4,1799.99,12
80081,Apple iPhone 14,799.99,13
97024,Motorola Moto G Power (2022),119.99,14
105469,Samsung Galaxy S23+,999.99,15
61974,Sunbeam F1,195,16
95642,Unihertz Titan Pocket,309.99,17
80813,HP Pavilion Plus 14,599.99,18
66803,Microsoft Surface Laptop Go 2,619,19
101124,Acer Chromebook Spin 714,679,20
66042,Lenovo ThinkPad X1 Carbon Gen 10 (2022),1479,21
107462,Dell XPS 15 OLED (9520),1099,22
66115,Lenovo Yoga 7i 14 Gen 7 (2022),1299,23
59143,Microsoft Surface Pro 9 (Intel),949,24
70266,"Apple MacBook Air (M2, 2022)",1149.99,25
69365,MSI Katana 15 (2023),999.99,26
66515,Lenovo Legion Pro 7i Gen 8,2069.99,27
